point_i,point_j,distance
93,94,0.475714
185,94,0.514384
187,93,0.487816
185,186,0.557802
92,93,0.523987
185,188,0.657724
186,189,0.571569
187,91,0.402489
187,188,0.434808
188,189,0.475216
192,91,0.475714
190,188,0.456553
190,192,0.437467
189,193,0.571569
194,91,0.430263
191,195,0.445404
196,192,0.475714
191,193,0.472216
90,91,0.475714
194,192,0.455123
195,196,0.447998
197,195,0.437069
198,192,0.457615
193,199,0.475674
89,90,0.413304
194,198,0.504052
201,196,0.475714
197,202,0.438085
198,196,0.460925
197,199,0.457751
200,89,0.428902
200,198,0.488039
203,196,0.462828
202,201,0.450276
204,202,0.437095
205,198,0.452155
199,206,0.475663
207,89,0.357626
207,200,0.477554
203,201,0.460576
209,201,0.475714
204,210,0.435854
205,203,0.439837
204,206,0.455464
88,89,0.359080
207,205,0.399058
208,201,0.464197
211,203,0.509560
210,209,0.451791
212,210,0.436094
213,205,0.386603
206,214,0.475651
215,88,0.296795
207,213,0.312196
208,209,0.458960
211,208,0.475040
218,209,0.475714
212,219,0.435715
213,211,0.421953
212,214,0.455017
87,88,0.311968
215,213,0.273409
216,209,0.464404
217,208,0.458560
219,218,0.451921
220,219,0.436035
213,217,0.312592
214,223,0.475640
224,87,0.247867
221,213,0.299925
215,221,0.244976
216,218,0.458667
217,216,0.418627
227,218,0.475714
220,228,0.435744
222,217,0.378214
220,223,0.454956
86,87,0.271034
221,222,0.255110
224,221,0.222045
225,218,0.464429
226,216,0.510978
228,227,0.451926
229,228,0.436043
222,226,0.413242
223,233,0.475628
234,86,0.229561
230,222,0.289074
231,221,0.258534
224,231,0.201362
225,227,0.458630
226,225,0.469678
237,227,0.475714
229,238,0.435778
222,232,0.302238
229,233,0.454945
85,86,0.235468
230,235,0.262133
231,230,0.220044
234,231,0.176006
236,227,0.464432
232,225,0.458915
238,237,0.451928
239,238,0.436045
235,232,0.377398
233,244,0.475617
245,85,0.209277
240,235,0.288295
241,230,0.270292
247,231,0.239394
242,231,0.244374
234,242,0.272912
236,237,0.458625
232,236,0.417312
249,237,0.475714
239,250,0.435815
235,243,0.412997
239,244,0.454938
84,85,0.204567
235,251,0.302059
240,246,0.266336
241,240,0.259559
247,241,0.246605
242,247,0.250877
245,242,0.204705
248,237,0.464432
243,236,0.511088
250,249,0.451929
252,250,0.436044
243,248,0.469394
244,257,0.475605
258,84,0.181728
